"-- Please, select --","-- Por favor, selecione --"
" However, the order was in an unexpected state. The system has forced a change to the correct state."," Porém, o pedido estava num estado inesperado. O sistema forçou uma mudança para o estado correto."
" with interest"," com juros"
" without interest"," sem juros"
"7-Eleven","7-Eleven"
"A total of %d orders encountered some errors. Please review the log files.","Um total de %d pedidos encontraram alguns erros. Por favor, verifique os arquivos de log."
"Account ID","ID Conta"
"Account ID - Argentina","ID Conta - Argentina"
"Account ID - Brazil","ID Conta - Brasil"
"Account ID - Colombia","ID Conta - Colômbia"
"Account ID - Mexico","ID Conta - México"
"Account ID - Panama","ID Conta - Panamá"
"Account ID - Peru","ID Conta - Peru"
"Address ""Complement"" field","Campo ""Complemento"" do Endereço"
"Address ""Number"" field","Campo ""Número"" do Endereço"
"Address ""Street"" field","Campo ""Rua"" do Endereço"
"Allowed groups","Grupos Permitidos"
"API Key","API Key"
"API Login","API Login"
"Are you the card holder?","Você é o Titular do Cartão?"
"Available Methods","Métodos Disponíveis"
"Authorized: payment has been performed by the customer and confirmed by PayU with the financial institution responsible.","Autorizado: o pagamento foi efetivado pelo cliente e confirmado pelo PayU junto à instituição financeira responsável."
"Baloto","Baloto"
"Bancomer","Bancomer"
"Bank Slip Expiration: %s","Vencimento: %s"
"BAPRO","BAPRO"
"BCP","BCP"
"Can be found on the dashboard of your PayU account, in ""Configuration >> Technical Information"".","Pode ser encontrado no painel de sua conta PayU, em ""Dados da Loja >> Informação Técnica""."
"Canceled: payment has not been performed. (%s) %s","Cancelado: o pagamento não foi efetivado. (%s) %s"
"Card Holder Date of Birth","Data de Nascimento do Titular"
"Card Holder Phone","Telefone do Titular do Cartão"
"Card Holder Taxvat","CPF do Titular do Cartão"
"Card Verification Number","CVV"
"Click here to print your bank slip","Clique aqui para imprimir seu boleto"
"Click here to proceed to payment","Clique aqui para prosseguir para o pagamento"
"Cobro Express","Cobro Express"
"Credit Card Number","Número do Cartão"
"Credit Card Owner: %s","Nome do Titular: %s"
"Credit Card Type: %s","Bandeira: %s"
"Customer ""Company Name"" field","Campo ""Razão Social"" do cliente"
"Customer ""Taxvat"" field","Campo ""CPF"" do cliente"
"Customer ""TIN"" field","Campo ""CNPJ"" do cliente"
"Debug","Debug"
"Dispute expired.","Prazo da disputa expirado."
"Dispute Notification URL","URL de Notificação de Disputas"
"Dispute on review.","Disputa em revisão."
"Dispute resolved. PayU granted a favorable decision to the store owner. Refund will not be made.","Disputa encerrada. O PayU concedeu ganho de causa ao lojista. O reembolso não será feito."
"Dispute started on PayU.","Disputa iniciada no PayU."
"Do you wish to check the status of order #%s on PayU?","Deseja verificar o status do pedido #%s no PayU?"
"Efecty","Efecty"
"Enabled","Ativo"
"Enable restriction by customer groups","Habilitar restrição por grupos de clientes"
"Error: the PayU transaction has encountered an error. (%s) %s","Erro: a transação PayU encontrou um erro. (%s) %s"
"Error pre-processing the notification. Transaction has no state.","Erro ao pré-processar a notificação. Transação não possui estado."
"Error pre-processing the notification. Unable to find order reference.","Erro ao pré-processar a notificação. Não foi possível encontrar a referência do pedido."
"Error processing the dispute notification. Transaction has no state.","Erro ao processar a notificação de disputa. Transação não possui estado."
"Error processing the dispute notification. Unable to find order reference.","Erro ao processar a notificação de disputa. Não foi possível encontrar a referência do pedido."
"Expiration: %s","Validade: %s"
"Expiration (days)","Vencimento (dias)"
"Expiration Date","Data de Validade"
"Expired: PayU transaction has expired. (%s) %s","Vencido: a transação PayU expirou. (%s) %s"
"For proper module functioning, a jQuery library must be loaded. If your store already loads the library, mark this option as ""No"".","É necessário que uma biblioteca jQuery esteja carregada para o bom funcionamento do módulo. Se sua loja já carrega a biblioteca, marque esta opção como ""Não""."
"I am the Card Holder","Sou o Titular do Cartão"
"Installments: %sx %s","Parcelas: %sx %s"
"Invalid dispute notification. Unable to find order reference: %s","Notificação de disputa inválida. Não foi possível encontrar a referência do pedido: %s"
"Invalid dispute notification. Unknown state received from PayU: %s","Notificação de disputa inválida. Estado desconhecido recebido do PayU: %s"
"Invalid notification. Unable to find order reference.","Notificação inválida. Não foi possível encontrar a referência do pedido."
"Invoice #%s created successfully.","Fatura #%s criada com sucesso."
"Installments","Parcelas"
"Last 4 digits: %s","Últimos 4 Dígitos: %s"
"Load jQuery library?","Carregar biblioteca jQuery?"
"Merchant ID","ID Comércio"
"Month","Mês"
"Name as printed on card","Nome conforme impresso no cartão"
"New Order Status","Situação dos Novos Pedidos"
"No data returned from PayU.","Nenhuma informação retornada do PayU."
"No response received from PayU.","Nenhuma resposta recebida do PayU."
"No transaction was found for this order on PayU with the provided transaction ID: ","Nenhuma transação foi encontrada para este pedido no PayU que tivesse o ID de transação fornecido: "
"No valid response received from PayU when requesting the refund.","Nenhuma resposta válida recebida do PayU ao requisitar reembolso."
"On test mode the default credentials from the PayU Sandbox are used.","No modo de testes são usadas as credenciais padrão do Sandbox PayU."
"Owner's DoB: %s","Data de Nascimento do Titular: %s"
"Owner's Phone: %s","Telefone do Titular: %s"
"Owner's Taxvat: %s","CPF do Titular: %s"
"Oxxo","Oxxo"
"Pago Fácil","Pago Fácil"
"Payment Method","Forma de Pagamento"
"Payment services which will be shown on the store.","Serviços de pagamento que estarão disponíveis na loja."
"Payment received successfully. PayU Order ID: %s","Pagamento recebido com sucesso. Código do pedido no PayU: %s"
"Payment Reference: %s","Referência do Pagamento: %s"
"Payment relative to order #%s","Pagamento referente ao pedido #%s"
"PayU - Argentina - Cash","PayU - Argentina - Dinheiro"
"PayU - Brazil - Bank Slip","PayU - Brasil - Boleto Bancário"
"PayU - Colombia - Cash","PayU - Colômbia - Dinheiro"
"PayU - Credit Card","PayU - Cartão de Crédito"
"PayU - General Settings","PayU Transparente - Configurações Gerais"
"PayU - Mexico - Cash","PayU - México - Dinheiro"
"PayU - Peru - Cash","PayU - Peru - Dinheiro"
"PayU Order ID: %s","ID do Pedido PayU: %s"
"PayU Transaction ID: %s","ID da Transação PayU: %s"
"Please, try again. There was a problem requesting the refund from PayU: ","Por favor, tente novamente. Ocorreu um erro ao requisitar o reembolso junto ao PayU: "
"Public Key","Public Key"
"Rapipago","Rapipago"
"Refunded completed. PayU granted a favorable decision to the customer.","Reembolso efetuado. O PayU concedeu ganho de causa ao cliente."
"Refunded completed. The store owner conceded to the customer request.","Reembolso efetuado. O lojista concedeu ganho de causa ao cliente."
"Refund requested via administrative dashboard.","Reembolso requisitado via painel administrativo."
"RIPSA","RIPSA"
"Santander","Santander"
"Scotiabank","Scotiabank"
"Send invoice email once payment is confirmed?","Enviar e-mail de fatura ao receber confirmação de pagamento?"
"Show Bank Slip","Exibir Boleto"
"Show Payment","Exibir Pagamento"
"Sort Order","Posição no Checkout"
"Test Environtment?","Ambiente de testes?"
"The bank slip can be printed after placing your order.","O boleto poderá ser impresso após a finalização do pedido."
"The bank slip will not be sent to your phisical address, so you must print it or use its barcode in order to pay.","O boleto não será enviado para seu endereço físico, sendo necessário imprimí-lo ou usar o código de barras para efetuar o pagamento."
"The card holder date of birth is a required field.","A Data de Nascimento do Titular do Cartão é um campo obrigatório."
"The card holder name is a required field.","O Nome do Titular do Cartão é um campo obrigatório."
"The card holder phone is a required field.","O Telefone do Titular do Cartão é um campo obrigatório."
"The expiration date for the bank slip is %d business days.","O prazo para vencimento do boleto é de %d dias úteis."
"The order was in an unexpected state (%s)","O pedido estava num estado inesperado (%s)"
"The PayU order is in a state on which refund is not possible: %s","O pedido no PayU se encontra num estado em que não é possível reembolso: %s"
"The refund request has been created on PayU, but has not yet been approved. Try again later for a new verification.","A requisição de reembolso foi criada junto ao PayU, mas ainda não foi aprovada. Tente novamente mais tarde para uma nova verificação."
"The refund request has been declined by PayU for the following reason: ","A requisição de reembolso junto ao PayU foi recusada pelo seguinte motivo: "
"The refund request on PayU has returned with an unknown state: (%s) %s","A requisição de reembolso junto ao PayU foi retornada com um estado desconhecido: (%s) %s"
"The refund request with PayU has expired. Please, try again to send a new request.","A requisição de reembolso junto ao PayU expirou. Por favor, tente novamente para enviar uma nova requisição."
"There was a problem generating your PayU bank slip","Ocorreu um problema ao gerar seu boleto PayU"
"There was a problem retrieving the bank slip","Houve um problema ao obter o Boleto"
"There was a problem retrieving the payment","Houve um problema ao obter o Pagamento"
"There was a problem retrieving your PayU payment information","Ocorreu um pronblema ao obter os dados de seu pagamento PayU"
"There was a problem retrieving your payment data. Please, contact our team.","Falha ao obter os dados do seu pagamento. Por favor, entre em contato com nossa equipe."
"There was a problem processing the notification from PayU: unable to save the order correctly.","Ocorreu um problema ao processar a notificação do PayU: não foi possível salvar o pedido corretamente."
"There was a problem processing the dispute notification from PayU: unable to save the order correctly.","Ocorreu um problema ao processar a notificação de disputa do PayU: não foi possível salvar o pedido corretamente."
"There was a problem processing your payment: ","Ocorreu um problema ao processar seu pagamento: "
"There was a problem when manually updating order %s: ","Ocorreu um problema ao atualizar manualmente o pedido %s: "
"Title","Título"
"To configure dispute notifications, the URL above must be inserted into your PayU account dashboard, in ""Configuration >> Account configurations"" on the ""Dispute notification URL"" field (after selecting your account). You also need to check the ""Enable dispute notification"" field.","Para configurar a notificação de disputas, esta URL deve ser inserida no painel de sua conta PayU em ""Dados da Loja >> Configuração da conta"", no campo ""URL de notificação de disputa"" (após selecionar sua conta). Também é necessário marcar o campo ""Permitir notificação de disputa""."
"Unknown","Desconhecido"
"Unknown event received from PayU: %s","Evento desconhecido enviado pelo PayU: %s"
"Update Status (PayU)","Atualizar Status (PayU)"
"Verification complete. A total of %d (out of %d) orders were successfully updated.","Verificação concluída. Um total de %d (de %d) pedidos foram atualizados com sucesso."
"x of ","x de "
"Waiting: the transaction has been started and PayU is waiting for payment confirmation.","Aguardando: a transação foi iniciada e o PayU está esperando a confirmação do pagamento."
"Will write the log to var/log/payu.log.","Escreverá o log em var/log/payu.log."
"Year","Ano"
"You must select at least one order to update.","Você deve selecionar ao menos um pedido para atualizar."
"You must select one of the available cash payment options. Please, go back and verify.","Você deve selecionar uma das opções disponíveis para pagamento em dinheiro. Por favor, volte e verifique."
